,ammit,amun,anubis,apis,aten,atum,bastet,ennead,harpocrates,hathor,horus,imhotep,isis,khnum,montu,neith,nut,osiris,ptah,ra,sopdu,thoth
djedi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
nitocris,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rhampsinitus_thief,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setne_khamwas,1,1,1,1,0,2,1,1,1,0,0,1,1,0,0,1,0,2,2,0,0,2
shipwrecked_sailor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sinuhe,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0
two_brothers,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
wenamun,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
